"","treat_assign","prob_shirt_st","prob_joke_st","prob_meeting_st","prob_vh_st","prob_pungwe_st","prob_testify_st"
"215","C",-0.638046737530063,-1.23674906768848,-1.33090121926941,-1.04583282980265,-0.361411059061081,-0.571491023153612
"216","C",0.119559778275578,-0.861976622934394,0.754742219350627,-1.04583282980265,-1.08649907724005,-1.28501601879354
"218","C",-0.259243479627243,-0.861976622934394,-0.496643843821397,-1.04583282980265,-1.08649907724005,-0.928253520973577
"219","C",1.25596955198404,0.262340711327859,0.754742219350627,0.396695211304454,0.726220968207376,-0.928253520973577
"220","TG",-1.3956532533357,-0.861976622934394,-0.496643843821397,0.0360632010276775,-0.361411059061081,-0.214728525333647
"221","C",0.498363036178398,-1.23674906768848,-0.913772531545405,-0.685200819525875,-0.723955068150567,0.142033972486319
"222","TG",0.498363036178398,-0.112431733426225,-0.496643843821397,-1.04583282980265,-1.08649907724005,-0.571491023153612
"224","C",-1.3956532533357,-0.861976622934394,-1.74802990699342,-1.04583282980265,-1.08649907724005,-0.928253520973577
"225","C",-0.259243479627243,-0.861976622934394,0.754742219350627,0.75732722158123,0.726220968207376,-0.928253520973577
"226","TG",0.498363036178398,-1.23674906768848,0.337613531626619,0.75732722158123,0.726220968207376,0.855558968126249
"228","TG",-0.259243479627243,-0.48720417818031,-0.079515156097389,-0.685200819525875,1.08876497729686,-0.571491023153612
"229","C",-1.3956532533357,-0.861976622934394,-1.74802990699342,-1.04583282980265,-1.08649907724005,-0.928253520973577
"230","TG",0.498363036178398,-1.23674906768848,0.337613531626619,0.75732722158123,0.726220968207376,0.498796470306284
"231","C",-0.638046737530063,-1.23674906768848,-0.913772531545405,0.396695211304454,0.36367695911789,0.498796470306284
"233","TG",0.498363036178398,-0.861976622934394,-1.33090121926941,-1.04583282980265,-1.08649907724005,-1.28501601879354
"234","C",-1.77445651123852,-1.23674906768848,-0.079515156097389,-1.04583282980265,-1.08649907724005,-0.214728525333647
"235","C",-0.259243479627243,-0.48720417818031,0.337613531626619,-1.40646484007943,0.00113295002840458,-0.571491023153612
"238","C",-0.259243479627243,-0.861976622934394,-0.913772531545405,-1.40646484007943,-1.44904308632954,-0.928253520973577
"239","C",0.498363036178398,-1.23674906768848,-0.496643843821397,-1.04583282980265,-1.08649907724005,-1.28501601879354
"241","TG",0.498363036178398,1.01188560083603,0.337613531626619,0.75732722158123,0.726220968207376,0.855558968126249
"242","TG",0.498363036178398,-0.48720417818031,0.337613531626619,0.75732722158123,0.726220968207376,0.855558968126249
"243","C",0.498363036178398,-0.112431733426225,-0.079515156097389,0.396695211304454,0.36367695911789,0.498796470306284
"244","C",0.498363036178398,-1.23674906768848,-1.74802990699342,-1.40646484007943,-1.44904308632954,-1.28501601879354
"245","C",-1.01684999543288,0.262340711327859,-0.496643843821397,0.0360632010276775,0.726220968207376,0.855558968126249
"247","C",0.498363036178398,0.262340711327859,0.337613531626619,0.75732722158123,0.726220968207376,0.498796470306284
"248","C",-0.638046737530063,-0.112431733426225,-0.913772531545405,-0.685200819525875,-1.08649907724005,-0.928253520973577
"250","TG",-1.01684999543288,-0.861976622934394,-0.913772531545405,-1.40646484007943,-1.44904308632954,-1.28501601879354
"252","C",-1.3956532533357,-0.48720417818031,-0.913772531545405,-1.04583282980265,-1.44904308632954,-0.571491023153612
"253","C",-1.77445651123852,-0.861976622934394,-1.33090121926941,-1.04583282980265,-1.08649907724005,-1.28501601879354
"254","C",0.498363036178398,0.637113156081943,1.17187090707464,0.75732722158123,0.726220968207376,0.498796470306284
"255","TG",-1.3956532533357,-1.23674906768848,-1.33090121926941,-0.685200819525875,-1.44904308632954,-1.28501601879354
"257","C",1.25596955198404,1.38665804559011,1.17187090707464,1.47859124213478,1.45130898638635,1.56908396376618
"258","TG",1.25596955198404,1.01188560083603,1.17187090707464,1.47859124213478,0.726220968207376,1.21232146594621
"259","C",0.877166294081218,1.38665804559011,0.754742219350627,1.11795923185801,1.08876497729686,0.855558968126249
"260","C",NA,NA,NA,NA,NA,NA
"262","C",1.25596955198404,1.01188560083603,1.17187090707464,1.11795923185801,1.45130898638635,1.56908396376618
"264","C",1.25596955198404,1.38665804559011,1.17187090707464,1.47859124213478,1.45130898638635,1.56908396376618
"265","TG",-0.259243479627243,-1.23674906768848,-0.913772531545405,-1.40646484007943,-1.44904308632954,0.142033972486319
"266","TG",NA,NA,NA,NA,NA,NA
"267","C",0.498363036178398,0.637113156081943,1.17187090707464,1.11795923185801,0.726220968207376,0.855558968126249
"268","C",1.25596955198404,0.637113156081943,1.17187090707464,1.47859124213478,1.45130898638635,1.56908396376618
"270","TG",-1.3956532533357,-0.861976622934394,-1.74802990699342,-1.04583282980265,-1.08649907724005,-0.928253520973577
"271","C",-0.638046737530063,-1.23674906768848,-0.913772531545405,-0.324568809249099,-1.44904308632954,-0.571491023153612
"273","TG",0.498363036178398,0.262340711327859,0.754742219350627,0.75732722158123,0.726220968207376,0.855558968126249
"274","C",0.498363036178398,1.01188560083603,0.337613531626619,0.75732722158123,0.726220968207376,0.855558968126249
"275","TG",0.119559778275578,-0.861976622934394,-0.496643843821397,0.75732722158123,-1.08649907724005,-0.571491023153612
"276","TG",-0.259243479627243,-0.861976622934394,-0.496643843821397,-1.40646484007943,-1.44904308632954,-1.28501601879354
"277","C",0.498363036178398,-1.23674906768848,0.337613531626619,0.0360632010276775,0.00113295002840458,0.855558968126249
"279","C",0.498363036178398,-0.861976622934394,0.337613531626619,0.0360632010276775,0.00113295002840458,0.855558968126249
"280","C",0.877166294081218,1.38665804559011,1.17187090707464,0.396695211304454,0.36367695911789,0.498796470306284
"281","TG",0.119559778275578,-0.861976622934394,-1.33090121926941,-0.324568809249099,-0.361411059061081,-0.928253520973577
"283","C",-1.3956532533357,-1.23674906768848,-1.74802990699342,-1.04583282980265,-1.08649907724005,-0.928253520973577
"285","C",0.119559778275578,-0.48720417818031,0.337613531626619,0.75732722158123,0.726220968207376,1.21232146594621
"287","C",0.119559778275578,-0.48720417818031,-0.079515156097389,-0.324568809249099,-1.08649907724005,-0.928253520973577
"289","TG",-1.3956532533357,0.262340711327859,-0.079515156097389,-0.324568809249099,0.00113295002840458,-0.214728525333647
"290","C",-1.01684999543288,-1.23674906768848,-0.079515156097389,-1.40646484007943,-1.44904308632954,0.142033972486319
"292","TG",-0.638046737530063,0.262340711327859,-0.496643843821397,-0.685200819525875,-0.723955068150567,-0.571491023153612
"293","TG",0.498363036178398,0.262340711327859,0.337613531626619,0.75732722158123,0.726220968207376,0.855558968126249
"294","TG",0.498363036178398,0.262340711327859,0.337613531626619,-0.324568809249099,-0.361411059061081,-0.214728525333647
"295","C",-1.77445651123852,-1.23674906768848,-2.16515859471743,-1.40646484007943,-1.44904308632954,-1.28501601879354
"296","C",0.498363036178398,0.262340711327859,0.337613531626619,-0.324568809249099,-0.361411059061081,-1.28501601879354
"297","C",-0.638046737530063,0.262340711327859,-0.496643843821397,0.0360632010276775,0.00113295002840458,-0.214728525333647
"298","TG",-0.638046737530063,-0.112431733426225,-0.913772531545405,-1.04583282980265,-1.08649907724005,-0.928253520973577
"300","C",-0.638046737530063,0.262340711327859,0.337613531626619,-0.324568809249099,-0.361411059061081,-1.28501601879354
"302","C",0.498363036178398,0.262340711327859,0.337613531626619,-0.324568809249099,-0.361411059061081,-0.928253520973577
"303","TG",0.498363036178398,0.262340711327859,0.337613531626619,0.75732722158123,0.726220968207376,-1.28501601879354
"304","C",0.498363036178398,1.01188560083603,0.337613531626619,0.75732722158123,0.726220968207376,0.855558968126249
"306","C",0.498363036178398,-0.112431733426225,0.754742219350627,-0.324568809249099,-0.361411059061081,-0.214728525333647
"307","TG",-1.77445651123852,-0.861976622934394,-0.079515156097389,-0.685200819525875,-0.361411059061081,-1.28501601879354
"309","C",-1.77445651123852,-1.23674906768848,-1.33090121926941,-1.40646484007943,-1.44904308632954,-1.28501601879354
"310","C",-0.638046737530063,-1.23674906768848,-1.74802990699342,-1.40646484007943,-0.723955068150567,-0.928253520973577
"311","C",-1.01684999543288,-1.23674906768848,-0.496643843821397,-1.40646484007943,-1.44904308632954,-1.28501601879354
"313","C",-0.638046737530063,1.01188560083603,0.754742219350627,-0.324568809249099,-0.361411059061081,0.498796470306284
"314","TG",-0.638046737530063,0.262340711327859,0.754742219350627,-1.40646484007943,-1.44904308632954,-0.214728525333647
"315","C",-0.638046737530063,-0.112431733426225,-0.496643843821397,-0.324568809249099,-0.361411059061081,-0.214728525333647
"316","C",-0.259243479627243,-0.861976622934394,-1.74802990699342,-0.685200819525875,-0.361411059061081,0.142033972486319
"317","TG",0.119559778275578,-0.861976622934394,-1.74802990699342,-1.04583282980265,-1.08649907724005,0.498796470306284
"318","C",0.877166294081218,0.637113156081943,-0.496643843821397,0.75732722158123,1.45130898638635,0.142033972486319
"319","TG",-0.638046737530063,-0.112431733426225,0.337613531626619,-0.324568809249099,-0.361411059061081,-0.214728525333647
"320","C",-0.259243479627243,-0.112431733426225,-0.913772531545405,-0.324568809249099,-0.361411059061081,-0.214728525333647
"324","C",-0.638046737530063,-0.112431733426225,-0.913772531545405,-0.324568809249099,-0.361411059061081,-0.214728525333647
"325","C",0.498363036178398,-0.112431733426225,-0.913772531545405,-0.324568809249099,-0.361411059061081,-0.214728525333647
"326","TG",-0.638046737530063,-0.112431733426225,-0.913772531545405,-0.324568809249099,-0.361411059061081,-0.214728525333647
"327","TG",-0.259243479627243,-0.112431733426225,1.17187090707464,-0.324568809249099,-0.361411059061081,-0.214728525333647
"328","C",-0.638046737530063,0.262340711327859,-0.496643843821397,-0.324568809249099,-0.361411059061081,-0.214728525333647
"330","C",-0.259243479627243,0.262340711327859,-0.913772531545405,-0.324568809249099,-0.361411059061081,-0.214728525333647
"332","C",-0.259243479627243,-0.112431733426225,-0.496643843821397,-0.324568809249099,-0.361411059061081,-0.214728525333647
"333","TG",-0.638046737530063,0.637113156081943,-0.496643843821397,-0.324568809249099,-0.361411059061081,-0.214728525333647
"334","C",-0.638046737530063,0.262340711327859,-0.913772531545405,-0.324568809249099,-0.361411059061081,-0.214728525333647
"336","C",-0.638046737530063,0.262340711327859,-0.496643843821397,-0.324568809249099,-0.361411059061081,-0.214728525333647
"338","C",0.498363036178398,1.01188560083603,0.337613531626619,0.75732722158123,0.726220968207376,-0.214728525333647
"339","TG",-0.638046737530063,-0.112431733426225,-0.913772531545405,0.75732722158123,0.726220968207376,-0.214728525333647
"340","C",0.498363036178398,-1.23674906768848,0.337613531626619,0.75732722158123,0.00113295002840458,-0.214728525333647
"342","TG",0.498363036178398,-0.112431733426225,0.337613531626619,-0.324568809249099,-0.361411059061081,-0.214728525333647
"343","C",0.498363036178398,-0.112431733426225,0.337613531626619,-0.324568809249099,-0.361411059061081,-0.214728525333647
"345","C",0.498363036178398,-1.23674906768848,0.337613531626619,0.75732722158123,0.00113295002840458,-0.214728525333647
"346","C",0.498363036178398,-1.23674906768848,0.337613531626619,0.75732722158123,-0.361411059061081,-0.214728525333647
"347","TG",0.498363036178398,-0.112431733426225,0.337613531626619,-0.324568809249099,-0.361411059061081,-0.214728525333647
"348","C",0.498363036178398,-0.112431733426225,0.337613531626619,-0.324568809249099,-0.361411059061081,-0.214728525333647
"350","C",-1.77445651123852,-0.48720417818031,-1.74802990699342,-1.40646484007943,-0.361411059061081,-0.214728525333647
"351","TG",0.119559778275578,1.01188560083603,0.337613531626619,0.75732722158123,0.726220968207376,-0.928253520973577
"352","C",0.877166294081218,-0.861976622934394,0.337613531626619,-1.04583282980265,0.00113295002840458,0.855558968126249
"353","C",0.119559778275578,0.262340711327859,-0.079515156097389,-0.324568809249099,-0.361411059061081,-0.214728525333647
"355","C",0.498363036178398,0.262340711327859,0.337613531626619,-0.324568809249099,-0.361411059061081,-0.214728525333647
"356","TG",0.498363036178398,0.262340711327859,0.337613531626619,0.75732722158123,0.726220968207376,0.855558968126249
"357","C",-0.259243479627243,-0.112431733426225,0.337613531626619,0.75732722158123,0.726220968207376,0.855558968126249
"358","C",0.498363036178398,-0.112431733426225,0.337613531626619,-0.324568809249099,-0.361411059061081,-0.214728525333647
"360","C",-1.01684999543288,-1.23674906768848,-0.496643843821397,-1.40646484007943,0.00113295002840458,-1.28501601879354
"362","TG",-0.638046737530063,-1.23674906768848,0.337613531626619,-1.40646484007943,-0.723955068150567,-1.28501601879354
"363","C",0.498363036178398,-1.23674906768848,-0.079515156097389,-0.685200819525875,-0.723955068150567,0.142033972486319
"364","C",-0.259243479627243,0.262340711327859,-0.913772531545405,-1.04583282980265,-1.08649907724005,-0.571491023153612
"365","TG",-0.259243479627243,-1.23674906768848,-0.079515156097389,-0.685200819525875,-0.361411059061081,0.498796470306284
"366","C",0.498363036178398,-0.48720417818031,-0.496643843821397,0.0360632010276775,0.00113295002840458,0.855558968126249
"367","TG",-0.638046737530063,-0.112431733426225,-0.079515156097389,-1.04583282980265,0.00113295002840458,-0.214728525333647
"368","C",-1.3956532533357,-1.23674906768848,-0.913772531545405,-1.04583282980265,-1.08649907724005,-0.571491023153612
"370","C",0.119559778275578,1.01188560083603,-0.496643843821397,-0.324568809249099,1.08876497729686,-0.214728525333647
"371","C",0.498363036178398,1.01188560083603,0.337613531626619,0.75732722158123,1.45130898638635,1.21232146594621
"374","TG",-0.638046737530063,-0.112431733426225,-0.913772531545405,0.0360632010276775,-0.361411059061081,-0.928253520973577
"375","C",0.498363036178398,1.01188560083603,0.337613531626619,0.0360632010276775,0.726220968207376,0.855558968126249
"376","C",0.877166294081218,1.38665804559011,0.754742219350627,1.11795923185801,1.08876497729686,1.21232146594621
"377","TG",0.877166294081218,1.38665804559011,0.754742219350627,1.11795923185801,0.36367695911789,1.21232146594621
"379","C",-0.638046737530063,-1.23674906768848,0.337613531626619,-1.40646484007943,0.726220968207376,-1.28501601879354
"380","TG",0.119559778275578,-0.112431733426225,-0.496643843821397,0.75732722158123,0.726220968207376,-1.28501601879354
"381","C",0.119559778275578,-1.23674906768848,-0.079515156097389,0.0360632010276775,0.726220968207376,-1.28501601879354
"382","C",-1.77445651123852,-1.23674906768848,-1.74802990699342,0.396695211304454,0.726220968207376,0.855558968126249
"383","C",NA,NA,NA,NA,NA,NA
"385","TG",0.498363036178398,0.262340711327859,-0.079515156097389,0.0360632010276775,0.00113295002840458,-0.928253520973577
"386","C",1.25596955198404,1.01188560083603,1.17187090707464,1.47859124213478,1.45130898638635,0.855558968126249
"388","C",0.498363036178398,0.262340711327859,1.17187090707464,1.47859124213478,1.45130898638635,0.855558968126249
"389","TG",NA,NA,NA,NA,NA,NA
"390","C",1.25596955198404,1.7614304903442,1.17187090707464,1.47859124213478,1.45130898638635,1.56908396376618
"392","C",1.25596955198404,1.7614304903442,1.17187090707464,1.47859124213478,1.45130898638635,1.56908396376618
"393","TG",-0.638046737530063,-0.48720417818031,-0.913772531545405,-0.324568809249099,-0.723955068150567,-0.214728525333647
"394","C",0.498363036178398,0.637113156081943,0.337613531626619,0.75732722158123,0.726220968207376,0.498796470306284
"396","TG",0.498363036178398,-0.48720417818031,-0.496643843821397,1.47859124213478,1.45130898638635,0.142033972486319
"397","C",0.498363036178398,-0.112431733426225,0.337613531626619,-1.40646484007943,0.00113295002840458,-1.28501601879354
"399","TG",-1.3956532533357,-0.112431733426225,-0.496643843821397,-1.40646484007943,0.726220968207376,0.498796470306284
"400","C",-1.77445651123852,-1.23674906768848,-0.496643843821397,0.75732722158123,0.36367695911789,-1.28501601879354
"401","TG",-1.77445651123852,-1.23674906768848,0.337613531626619,0.75732722158123,0.726220968207376,0.855558968126249
"403","C",-1.3956532533357,-0.861976622934394,-1.74802990699342,-1.04583282980265,-1.08649907724005,-0.928253520973577
"404","C",-1.3956532533357,-0.861976622934394,-1.74802990699342,-1.04583282980265,-1.08649907724005,-0.928253520973577
"406","TG",-1.3956532533357,-0.861976622934394,-1.74802990699342,-1.04583282980265,-1.08649907724005,-0.928253520973577
"407","C",0.498363036178398,0.637113156081943,-0.079515156097389,0.75732722158123,-1.44904308632954,-1.28501601879354
"409","TG",-0.638046737530063,-0.48720417818031,-1.33090121926941,-1.04583282980265,-0.723955068150567,-0.571491023153612
"410","C",0.119559778275578,0.637113156081943,-0.079515156097389,0.396695211304454,0.36367695911789,0.142033972486319
"412","C",0.877166294081218,1.38665804559011,0.754742219350627,1.47859124213478,1.45130898638635,1.56908396376618
"413","C",0.877166294081218,1.7614304903442,0.754742219350627,1.11795923185801,1.08876497729686,1.21232146594621
"415","TG",-1.3956532533357,-0.861976622934394,-0.913772531545405,-0.324568809249099,-0.361411059061081,-0.928253520973577
"416","C",0.877166294081218,1.7614304903442,1.17187090707464,0.75732722158123,1.08876497729686,1.21232146594621
"419","TG",-1.77445651123852,-1.23674906768848,1.17187090707464,-1.04583282980265,-1.08649907724005,1.56908396376618
"421","TG",0.877166294081218,-0.861976622934394,0.754742219350627,0.75732722158123,0.726220968207376,0.855558968126249
"422","C",1.25596955198404,0.262340711327859,1.17187090707464,-1.40646484007943,-1.44904308632954,-1.28501601879354
"423","C",0.119559778275578,0.637113156081943,0.754742219350627,1.11795923185801,1.08876497729686,1.21232146594621
"427","C",-1.3956532533357,-1.23674906768848,-1.33090121926941,-0.324568809249099,-0.361411059061081,-0.571491023153612
"428","TG",-1.77445651123852,-1.23674906768848,0.337613531626619,-1.40646484007943,-0.361411059061081,-1.28501601879354
"429","C",-0.638046737530063,-0.112431733426225,-0.496643843821397,-0.324568809249099,-0.361411059061081,-1.28501601879354
"430","C",-1.01684999543288,0.262340711327859,-0.496643843821397,0.75732722158123,0.726220968207376,0.142033972486319
"431","TG",0.498363036178398,1.38665804559011,0.337613531626619,0.396695211304454,0.36367695911789,0.498796470306284
"432","C",-0.638046737530063,-1.23674906768848,-0.496643843821397,-1.40646484007943,-0.361411059061081,-1.28501601879354
"434","C",-0.259243479627243,-1.23674906768848,0.337613531626619,0.0360632010276775,0.726220968207376,-1.28501601879354
"435","TG",0.498363036178398,-1.23674906768848,0.337613531626619,-1.40646484007943,-0.361411059061081,-1.28501601879354
"438","C",-1.77445651123852,-1.23674906768848,-1.33090121926941,-1.40646484007943,-1.44904308632954,-1.28501601879354
"439","C",-1.77445651123852,-1.23674906768848,-1.33090121926941,-1.40646484007943,-1.44904308632954,-1.28501601879354
"440","TG",-0.638046737530063,-0.112431733426225,-0.079515156097389,-1.04583282980265,-0.361411059061081,-0.214728525333647
"441","C",0.119559778275578,0.637113156081943,0.337613531626619,-0.324568809249099,0.36367695911789,0.498796470306284
